Series ID,Year,Period,Label,Value Unemploy,Yearly average unemploy,Il Pop
LASST170000000000004,2016,M10,2016 Oct,370796,,
LASST170000000000004,2016,M11,2016 Nov,363838,,
LASST170000000000004,2016,M12,2016 Dec,353961,,
LASST170000000000004,2017,M01,2017 Jan,346578,324413.5833,12802023
LASST170000000000004,2017,M02,2017 Feb,336052,,
LASST170000000000004,2017,M03,2017 Mar,328208,,
LASST170000000000004,2017,M04,2017 Apr,323894,,
LASST170000000000004,2017,M05,2017 May,322423,,
LASST170000000000004,2017,M06,2017 Jun,323165,,
LASST170000000000004,2017,M07,2017 Jul,324883,,
LASST170000000000004,2017,M08,2017 Aug,325130,,
LASST170000000000004,2017,M09,2017 Sep,323064,,
LASST170000000000004,2017,M10,2017 Oct,319254,,
LASST170000000000004,2017,M11,2017 Nov,313818,,
LASST170000000000004,2017,M12,2017 Dec,306494,,
LASST170000000000004,2018,M01,2018 Jan,299294,287547.9167,12741080
LASST170000000000004,2018,M02,2018 Feb,292204,,
LASST170000000000004,2018,M03,2018 Mar,286440,,
LASST170000000000004,2018,M04,2018 Apr,281853,,
LASST170000000000004,2018,M05,2018 May,279046,,
LASST170000000000004,2018,M06,2018 Jun,278096,,
LASST170000000000004,2018,M07,2018 Jul,278652,,
LASST170000000000004,2018,M08,2018 Aug,281119,,
LASST170000000000004,2018,M09,2018 Sep,285424,,
LASST170000000000004,2018,M10,2018 Oct,290751,,
LASST170000000000004,2018,M11,2018 Nov,296533,,
LASST170000000000004,2018,M12,2018 Dec,301163,,
LASST170000000000004,2019,M01,2019 Jan,301759,259930.3333,12671821
LASST170000000000004,2019,M02,2019 Feb,296608,,
LASST170000000000004,2019,M03,2019 Mar,286524,,
LASST170000000000004,2019,M04,2019 Apr,273698,,
LASST170000000000004,2019,M05,2019 May,261185,,
LASST170000000000004,2019,M06,2019 Jun,251639,,
LASST170000000000004,2019,M07,2019 Jul,246416,,
LASST170000000000004,2019,M08,2019 Aug,244312,,
LASST170000000000004,2019,M09,2019 Sep,242244,,
LASST170000000000004,2019,M10,2019 Oct,239781,,
LASST170000000000004,2019,M11,2019 Nov,237566,,
LASST170000000000004,2019,M12,2019 Dec,237432,,
LASST170000000000004,2020,M01,2020 Jan,241411,591041.5,
LASST170000000000004,2020,M02,2020 Feb,250421,,
LASST170000000000004,2020,M03,2020 Mar,325098,,
LASST170000000000004,2020,M04,2020 Apr,1129154,,
LASST170000000000004,2020,M05,2020 May,927050,,
LASST170000000000004,2020,M06,2020 Jun,800531,,
LASST170000000000004,2020,M07,2020 Jul,727080,,
LASST170000000000004,2020,M08,2020 Aug,619004,,
LASST170000000000004,2020,M09,2020 Sep,576517,,
LASST170000000000004,2020,M10,2020 Oct,519006,,
LASST170000000000004,2020,M11,2020 Nov,495731,,
LASST170000000000004,2020,M12,2020 Dec,481495,,
LASST170000000000004,2021,M01,2021 Jan,454854,387852.4167,12671469
LASST170000000000004,2021,M02,2021 Feb,442295,,
LASST170000000000004,2021,M03,2021 Mar,429938,,
LASST170000000000004,2021,M04,2021 Apr,421701,,
LASST170000000000004,2021,M05,2021 May,408953,,
LASST170000000000004,2021,M06,2021 Jun,405289,,
LASST170000000000004,2021,M07,2021 Jul,391783,,
LASST170000000000004,2021,M08,2021 Aug,375767,,
LASST170000000000004,2021,M09,2021 Sep,353811,,
LASST170000000000004,2021,M10,2021 Oct,336319,,
LASST170000000000004,2021,M11,2021 Nov,320744,,
LASST170000000000004,2021,M12,2021 Dec,312775,,
LASST170000000000004,2022,M01,2022 Jan,308798,294507.6667,
LASST170000000000004,2022,M02,2022 Feb,301178,,
LASST170000000000004,2022,M03,2022 Mar,294491,,
LASST170000000000004,2022,M04,2022 Apr,289594,,
LASST170000000000004,2022,M05,2022 May,286408,,
LASST170000000000004,2022,M06,2022 Jun,284897,,
LASST170000000000004,2022,M07,2022 Jul,286618,,
LASST170000000000004,2022,M08,2022 Aug,289532,,
LASST170000000000004,2022,M09,2022 Sep,296389,,
LASST170000000000004,2022,M10,2022 Oct,300040,,
LASST170000000000004,2022,M11,2022 Nov,298887,,
LASST170000000000004,2022,M12,2022 Dec,297260,,
LASST170000000000004,2023,M01,2023 Jan,294351,277717.8333,
LASST170000000000004,2023,M02,2023 Feb,289854,,
LASST170000000000004,2023,M03,2023 Mar,283806,,
LASST170000000000004,2023,M04,2023 Apr,275010,,
LASST170000000000004,2023,M05,2023 May,265222,,
LASST170000000000004,2023,M06,2023 Jun,258064,,
